车辆ID,发车时间,发车位置,方向,期望速度,车辆类型名称,路径
11372,1160.593,886.6816_0.8429536_1174.519,Left,13.59753,0_1,51_65
11373,1160.753,948.4979_0.8429536_909.7896,Left,8.760213,0_1,65_61
11374,1161.874,1127.646_0.730626_1097.408,Left,5.996634,0_3,61_66
11375,1162.034,945.5281_0.730626_909.3644,Left,27.47171,0_3,65_51
11376,1162.354,757.6463_0.688456_1029.935,Right,21.69873,0_4,66_51
11377,1163.474,877.7881_0.8651666_1173.138,Left,13.61015,0_0,51_66
11378,1165.234,948.4979_0.9621004_909.7896,Left,9.957899,2_0,65_61
11379,1165.875,880.7526_0.8651666_1173.598,Left,12.77993,0_0,51_65
11380,1166.035,886.6816_0.688456_1174.519,Left,23.38865,0_4,51_65
11381,1166.355,1127.173_0.8651666_1100.371,Left,24.85822,0_0,61_51
11382,1168.275,945.5281_0.730626_909.3644,Left,32.05428,0_3,65_51
11383,1168.755,939.5887_0.8651666_908.5142,Left,29.06228,0_0,65_51
11384,1168.755,760.5212_0.9621004_1012.166,Right,11.89384,2_0,66_65
11385,1169.875,942.5584_0.9621004_908.9393,Left,24.48109,2_0,65_51
11386,1170.676,886.6816_0.8651666_1174.519,Left,14.11511,0_0,51_65
11387,1170.836,948.4979_0.8433979_909.7896,Left,23.26444,0_2,65_61
11388,1171.476,942.5584_0.9621004_908.9393,Left,10.14523,2_0,65_51
11389,1171.796,939.5887_0.9621004_908.5142,Left,20.75499,2_0,65_51
11390,1171.796,759.0837_0.8433979_1021.051,Right,23.02912,0_2,66_61
11391,1172.756,1128.593_0.9621004_1091.483,Left,13.26137,2_0,61_66
11392,1172.916,1129.067_0.9621004_1088.521,Left,12.7599,2_0,61_66
11393,1173.236,892.6105_0.730626_1175.439,Left,28.26084,0_3,51_61
11394,1175.317,1127.646_0.8433979_1097.408,Left,29.55646,0_2,61_66
11395,1176.117,880.7526_0.8433979_1173.598,Left,22.75482,0_2,51_65
11396,1176.437,939.5887_0.9621004_908.5142,Left,16.08827,2_0,65_51
